sample	samples	RNAss	FOXM1	AKT_PATHWAY	ALK_PATHWAY	BRCA_ATR_PATHWAY	CASPASE_CASCADE_(APOPTOSIS)	CTLA4_PATHWAY	PD1_SIGNALING	PI3K_CASCADE	PTEN_PATHWAY	RAS_PATHWAY	RB_PATHWAY	Subtype_Immune_Model_Based	cancer type abbreviation
TCGA-VF-A8A8-01	TCGA-VF-A8A8-01	0.952933	13.22	0.7108	-2.9622	0.2322	1.2741	-0.0827	1.6731	-0.6557	1.9908	-2.166	-2.6627	Wound Healing (Immune C1)	TGCT
TCGA-2G-AAGW-01	TCGA-2G-AAGW-01	0.951326	13.79	0.6667	-3.6578	-0.3614	1.8611	-1.523	1.0608	-1.8053	0.6805	-2.8827	-3.7834	Wound Healing (Immune C1)	TGCT
TCGA-SN-A84Y-01	TCGA-SN-A84Y-01	0.949348	13.29	2.0179	-1.245	0.5775	2.1014	0.8393	1.6767	-0.0039	1.7381	-1.0309	-2.2257	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-W4-A7U4-01	TCGA-W4-A7U4-01	0.935183	13.23	1.0715	-1.223	0.0468	2.0135	0.9836	1.8003	0.4635	1.9715	-0.6848	-1.65	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-XY-A8S2-01	TCGA-XY-A8S2-01	0.932724	13.11	0.7697	-1.4518	0.8456	1.8082	1.2886	0.7446	0.5906	2.0212	-1.0538	-2.2981	Wound Healing (Immune C1)	TGCT
TCGA-2G-AAGO-01	TCGA-2G-AAGO-01	0.927033	12.18	1.2419	-2.0054	0.0883	1.9579	0.1797	0.7307	-0.7578	1.9744	-1.2944	-3.1039	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAG7-01	TCGA-2G-AAG7-01	0.904614	13.04	0.7803	-1.4136	1.1066	1.3583	-0.1478	0.3859	-0.4182	1.7964	-0.8417	-2.2096	Wound Healing (Immune C1)	TGCT
TCGA-2G-AAL7-01	TCGA-2G-AAL7-01	0.896908	13.15	0.2579	-2.3852	0.1946	1.491	0.0885	1.2037	-0.1152	1.2283	-2.3791	-2.754	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAFN-01	TCGA-2G-AAFN-01	0.889938	13.03	1.671	-2.1284	0.3818	1.4454	0.6624	2.5326	0.3095	1.4892	-2.3786	-2.517	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAG0-01	TCGA-2G-AAG0-01	0.884063	12.87	1.3778	-1.4265	0.397	1.577	1.4674	0.9047	0.5676	2.2015	-1.1007	-1.905	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-2G-AAGN-01	TCGA-2G-AAGN-01	0.869774	13.57	1.2617	-1.9706	0.2792	1.6461	0.5976	0.9858	0.1695	1.2255	-1.9184	-2.3511	IFN-gamma Dominant (Immune C2)	TGCT
TCGA-YU-A90P-01	TCGA-YU-A90P-01	0.857149	14.07	1.6035	-1.2421	0.655	1.6914	1.2256	0.3323	0.8201	1.8726	-0.0597	-1.9064	IFN-gamma Dominant (Immune C2)	TGCT
